18.93,0.99,0.99,v_dot
18.16,1.94,0.95,sphere_intersect
13.38,2.64,0.70,v_sub
12.43,3.29,0.65,v_
8.60,3.74,0.45,radiance
7.27,4.12,0.38,v_scl
6.12,4.44,0.32,v_add
4.97,4.70,0.26,v_norm
3.25,4.87,0.17,intersect_scene
2.29,4.99,0.12,v_cross
1.53,5.17,0.08,v_mul
0.96,5.22,0.05,rng_uniform
0.19,5.23,0.01,rng_next
0.00,5.23,0.00,clamp01
0.00,5.23,0.00,now_s
